eic,name,tso,u_primary,u_secondary,imax,s_nom,r,x,b,g,theta,is_pst,x_physical
19T1100000065478,TR LAGISZA-A2,PSE,400.0,220.0,500.0,346.41016151377545,0.1258,12.797,-5.6612,0.0,0.0,True,True
19T000000004057N,TR MIKULOWA-A1,PSE,400.0,220.0,500.0,346.41016151377545,0.1065,9.438,-3.5124,0.0,0.0,True,True
19T000000004058L,TR MIKULOWA-A2,PSE,400.0,220.0,500.0,346.41016151377545,0.1065,9.438,-3.5124,0.0,0.0,True,True
19T0000000063830,PST MIKULOWA-PF1,PSE,400.0,400.0,1200.0,831.384387633061,0.112,11.616,-34.6375,0.0,90.0,True,True
19T000000006384Z,PST MIKULOWA-PF2,PSE,400.0,400.0,1200.0,831.384387633061,0.112,11.632,-34.6625,0.0,90.0,True,True
19T000000006385X,PST MIKULOWA-PF3,PSE,400.0,400.0,1200.0,831.384387633061,0.112,11.6,-34.6375,0.0,90.0,True,True
19T000000006386V,PSTMIKULOWA-PF4,PSE,400.0,400.0,1200.0,831.384387633061,0.112,11.568,-34.7,0.0,90.0,True,True
19T110000006561E,PST MIKULOWA-TD1,PSE,220.0,220.0,500.0,190.5255888325765,0.0968,0.8712,-2.5,0.0,90.0,True,True
19T110000006562C,PST MIKULOWA-TD2,PSE,220.0,220.0,500.0,190.5255888325765,0.0968,0.8712,-2.5,0.0,90.0,True,True
19T1100000065648,TR MILOSNA-A3,PSE,400.0,220.0,400.0,277.12812921102034,0.2565,13.286,-27.4587,0.0,0.0,True,True
19T1100000065818,TR OLSZTYN-MATK-A3,PSE,400.0,220.0,330.0,228.63070659909178,0.1839,18.169,-8.6364,0.0,0.0,True,True
19T1100000065842,TR OLTARZEW-A1,PSE,400.0,220.0,500.0,346.41016151377545,0.1258,11.5,-2.9752,0.0,0.0,True,True
19T1100000065850,TR OLTARZEW-A2,PSE,400.0,220.0,500.0,346.41016151377545,0.1258,11.51,-2.7893,0.0,0.0,True,True
19T000000006378U,TR OSTROLEKA-A1,PSE,400.0,220.0,500.0,346.41016151377545,0.121,11.277,-2.8512,0.0,0.0,True,True
19T110000006597U,TR PATNOW-A2,PSE,400.0,220.0,500.0,346.41016151377545,0.1452,12.845,-6.5289,0.0,0.0,True,True
19T110000006601S,TR POLANIEC-A2,PSE,400.0,220.0,400.0,277.12812921102034,0.271,14.757,-25.9091,0.0,0.0,True,True
19T0000000064187,TR POLKOWICE-A3,PSE,400.0,220.0,500.0,346.41016151377545,0.1162,11.437,-3.0992,0.0,0.0,True,True
19T110000006626C,TR ROGOWIEC-A1,PSE,400.0,220.0,500.0,346.41016151377545,0.1549,12.458,-1.6736,0.0,0.0,True,True
19T110000006627A,TR ROGOWIEC-A2,PSE,400.0,220.0,500.0,346.41016151377545,0.121,12.115,-2.4587,0.0,0.0,True,True
19T110000006633F,TR RZESZOW-A3,PSE,750.0,400.0,1251.0,1625.0966702014991,0.096,19.264,-4.6437,0.0,0.0,True,True
19T110000006634D,TR RZESZOW-A4,PSE,750.0,400.0,1251.0,1625.0966702014991,0.096,19.248,-4.65,0.0,0.0,True,True
19T000000003947W,TR SWIEBODZICE-A3,PSE,400.0,220.0,500.0,346.41016151377545,0.121,12.371,-2.6033,0.0,0.0,True,True
19T000000003959P,TR WIELOPOLE-A3,PSE,400.0,220.0,400.0,277.12812921102034,0.2904,15.711,-24.3182,0.0,0.0,True,True
17T000000014478N,TR 400/225kV 762 ALBERTVILLE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.24,43.1,,,,False,True
17T000000016016E,TR 400/225kV 763 ALBERTVILLE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.11,45.9,,,,False,True
